,ChEMBL ID,Name,SMILES,Molecular Weight,LogP,HBA,HBD,TPSA,Protein
67,CHEMBL5438568,,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC(=O)/C=C/n1cc(F)c(=O)[nH]c1=O,501.83,3.24,9,2,128.20,EGFR
68,CHEMBL5440872,,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC(=O)/C=C/CN1CCCCC1,470.93,5.12,7,1,76.58,EGFR
69,CHEMBL5429059,,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/n1cc(F)c(=O)[nH]c1=O,500.85,3.27,8,3,131.00,EGFR
70,CHEMBL2110732,DACOMITINIB ANHYDROUS,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,469.95,5.16,6,2,79.38,EGFR
71,CHEMBL4555578,,O=C(Nc1ccccc1)NC1CCCC1,204.27,2.75,1,2,41.13,EGFR
72,CHEMBL5411401,,O=C(Nc1ccccn1)NC1CCCC1,205.26,2.15,2,2,54.02,EGFR
73,CHEMBL5439330,,CN(C(=O)NC1CCCC1)c1ccccc1,218.30,2.78,1,1,32.34,EGFR
74,CHEMBL5425333,,CN(C(=O)NC1CCCC1)c1ccccn1,219.29,2.17,2,1,45.23,EGFR
75,CHEMBL5401602,,CN(C(=O)Nc1ccccc1)C1CCCC1,218.30,3.09,1,1,32.34,EGFR
76,CHEMBL5430172,,CN(C(=O)Nc1ccccn1)C1CCCC1,219.29,2.49,2,1,45.23,EGFR
77,CHEMBL5411911,,CN(C(=O)N(C)C1CCCC1)c1ccccc1,232.33,3.12,1,0,23.55,EGFR
78,CHEMBL5420832,,CN(C(=O)N(C)C1CCCC1)c1ccccn1,233.31,2.51,2,0,36.44,EGFR
79,CHEMBL5424516,,COc1cc2ncnc(NCc3ccc(NC(=O)C(c4ccccc4)N4Cc5ccccc5C4=O)cc3)c2cc1OCCCN1CCOCC1,672.79,5.69,9,2,118.15,EGFR
80,CHEMBL4284413,,O=C(Nc1nccs1)C(c1ccccc1)N1Cc2ccccc2C1=O,349.42,3.48,4,1,62.30,EGFR
81,CHEMBL5595106,,COc1cc(C=O)ccc1OC(=O)c1cc(-c2ccc(C)cc2)n(-c2ccc(S(N)(=O)=O)cc2)n1,491.53,3.54,8,1,130.58,EGFR
82,CHEMBL5594443,,COc1ccc(-c2cc(C(=O)Oc3ccc(C=O)cc3OC)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,507.52,3.24,9,1,139.81,EGFR
83,CHEMBL5592717,,Cc1ccc(-c2cc(C(=O)Nc3ccc(S(N)(=O)=O)cc3)nn2-c2ccccc2)cc1,432.51,3.75,5,2,107.08,EGFR
84,CHEMBL5595541,,NS(=O)(=O)c1ccc(NC(=O)c2cc(-c3ccc(Cl)cc3)n(-c3ccccc3)n2)cc1,452.92,4.09,5,2,107.08,EGFR
85,CHEMBL5590555,,Cc1ccc(-c2cc(C(=O)Nc3ccc(S(C)(=O)=O)cc3)nn2-c2ccccc2)cc1,431.52,4.50,5,1,81.06,EGFR
86,CHEMBL5593705,,CS(=O)(=O)c1ccc(NC(=O)c2cc(-c3ccc(Cl)cc3)n(-c3ccccc3)n2)cc1,451.94,4.85,5,1,81.06,EGFR
87,CHEMBL1336,SORAFENIB,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,464.83,5.55,4,3,92.35,EGFR
88,CHEMBL939,GEFITINIB,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,446.91,4.28,7,1,68.74,EGFR
89,CHEMBL553,ERLOTINIB,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,393.44,3.41,7,1,74.73,EGFR
90,CHEMBL545315,CANERTINIB DIHYDROCHLORIDE,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,558.87,4.39,7,2,88.61,EGFR
91,CHEMBL303519,,c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1,342.45,3.37,4,0,32.26,DRD2
92,CHEMBL292943,,COc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,360.46,3.47,5,0,41.49,DRD2
93,CHEMBL61682,,Fc1ccc(-c2cncc(CN3CCN(c4ccccc4F)CC3)c2)cc1,365.43,4.35,3,0,19.37,DRD2
94,CHEMBL64487,,COc1ccccc1-c1cccc(CN2CCN(c3ncccn3)CC2)c1,360.46,3.47,5,0,41.49,DRD2
95,CHEMBL64597,,c1cnc(N2CCN(Cc3cccc(-c4ccsc4)c3)CC2)nc1,336.46,3.53,5,0,32.26,DRD2
96,CHEMBL291824,,Fc1ccc(-c2cncc(CN3CCN(c4ccc(F)cc4)CC3)c2)cc1,365.43,4.35,3,0,19.37,DRD2
97,CHEMBL59942,,Fc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,348.43,3.60,4,0,32.26,DRD2
98,CHEMBL61657,,Fc1ccc(-c2cncc(CN3CCN(c4ccccn4)CC3)c2)cc1,348.42,3.60,4,0,32.26,DRD2
